location,latitude,longitude,magnitude,depth,day,hour,minute,sec
ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),38.1065,36.5138,3.1, 6.1 km,9,10,6,15
KAPIDERE-DOGANSEHIR (MALATYA),37.9787,37.6138,4.1, 2.0 km,9,9,49,48
TAPKIRANKALE-ELBISTAN (KAHRAMANMARAS),38.1215,37.6382,3.9, 5.0 km,9,9,37,3
HUGTAS-GOKSUN (KAHRAMANMARAS),37.9812,36.3983,3.1, 5.0 km,9,9,22,46
GUCUKSU-GOKSUN (KAHRAMANMARAS),38.0822,36.657,3.3, 4.9 km,9,8,49,51
KADIRUSAGI-YESILYURT (MALATYA),38.216,38.2533,4.2, 5.8 km,9,8,37,33
OKSUZLU-(KAHRAMANMARAS),37.4295,36.9738,3.2, 1.8 km,9,8,25,44
KANLIKAVAK-GOKSUN (KAHRAMANMARAS),38.091,36.6268,4.1, 5.1 km,9,8,24,25
MEHMETBEY-GOKSUN (KAHRAMANMARAS),38.0743,36.4878,3.9, 3.3 km,9,8,2,54
ACIELMA-GOKSUN (KAHRAMANMARAS),38.0187,36.4235,3.1, 7.8 km,9,7,58,47
TEKEBASI-SAMANDAG (HATAY),36.0583,35.978,3.5,16.4 km,9,7,47,46
DONGEL-(KAHRAMANMARAS),37.8775,36.6735,3,13.0 km,9,7,36,42
AKSU-SINCIK (ADIYAMAN),38.1282,38.5042,4.1, 5.8 km,9,7,34,42
AKTOPRAK-GOLBASI (ADIYAMAN),37.8383,37.6743,3.2,12.6 km,9,7,32,23
SIRMALI-GOKSUN (KAHRAMANMARAS),37.9543,36.3828,4, 1.7 km,9,7,18,19
GORGU-YESILYURT (MALATYA),38.2722,38.12,3.4, 5.0 km,9,7,15,33
DEVEBOYNU-AFSIN (KAHRAMANMARAS),38.1258,36.7715,3, 5.0 km,9,7,9,15
OBRUKKASI-MAZGIRT (TUNCELI),38.8957,39.749,3.8, 5.4 km,9,7,4,56
UZUNALIC-(HATAY),36.3942,36.2173,3.1, 8.6 km,9,7,1,30
PINARBASI-CELIKHAN (ADIYAMAN),38.0167,38.1775,4,15.7 km,9,6,52,15
ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),38.0787,36.5107,3.4, 5.0 km,9,6,46,5
TEKIR-(KAHRAMANMARAS),37.9167,36.6735,3.3, 4.8 km,9,6,40,17
GORGU-YESILYURT (MALATYA),38.236,38.1132,3.5, 5.0 km,9,6,34,19
CAMPINAR-CELIKHAN (ADIYAMAN),38.1127,38.2083,3.9, 5.0 km,9,6,26,12
CEYLANLI-KIRIKHAN (HATAY),36.5605,36.3888,4, 7.3 km,9,6,24,52
CAYKOY-PUTURGE (MALATYA),38.2722,38.7117,3, 5.3 km,9,6,20,50
GUNDUZBEY-YESILYURT (MALATYA),38.2733,38.238,3.3, 5.0 km,9,6,4,14
CANKARA-GOLBASI (ADIYAMAN),37.86,37.8498,3,22.7 km,9,6,1,40
EKINOZU (KAHRAMANMARAS),38.065,37.2077,3, 7.3 km,9,5,46,32
TATLAR-NURHAK (KAHRAMANMARAS),38.0245,37.472,3.1,21.4 km,9,5,53,32
